open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1675036800000,23743.37000000,23748.70000000,23730.59000000,23736.50000000,262.17777000,1675036859999,6223585.84719060,6615,114.23862000,2711919.08780900,0
1675036860000,23738.48000000,23753.32000000,23733.35000000,23746.84000000,121.23229000,1675036919999,2878829.24528520,4353,57.12049000,1356400.69171580,0
1675036920000,23745.94000000,23752.80000000,23730.00000000,23733.63000000,215.40697000,1675036979999,5113948.16591330,5540,102.74293000,2439290.33109440,0
1675036980000,23733.63000000,23744.71000000,23726.02000000,23728.21000000,217.65871000,1675037039999,5165776.29630120,5572,115.14276000,2732820.25923930,0
1675037040000,23729.31000000,23755.41000000,23713.64000000,23749.81000000,258.85714000,1675037099999,6143737.16632920,7121,121.03406000,2872668.35444730,0
1675037100000,23749.81000000,23757.50000000,23737.00000000,23749.67000000,229.00527000,1675037159999,5438546.46711390,5427,94.78759000,2251064.93477400,0
1675037160000,23748.34000000,23777.20000000,23746.38000000,23773.37000000,249.45469000,1675037219999,5928190.58486850,6742,156.01807000,3707848.33580440,0
1675037220000,23772.28000000,23788.15000000,23766.53000000,23782.13000000,253.49168000,1675037279999,6027599.71208380,7369,136.34607000,3242193.48591990,0
1675037280000,23783.08000000,23791.87000000,23771.83000000,23787.83000000,210.14590000,1675037339999,4997769.27606780,5792,117.86002000,2803077.80310470,0
1675037340000,23786.84000000,23798.54000000,23778.70000000,23787.80000000,264.15946000,1675037399999,6284128.27830000,6539,120.92680000,2876969.72776310,0
1675037400000,23787.80000000,23800.00000000,23785.44000000,23792.64000000,228.73690000,1675037459999,5442522.40227330,6469,128.51648000,3058022.67609810,0
1675037460000,23793.72000000,23800.51000000,23778.29000000,23783.73000000,212.41019000,1675037519999,5053041.80002590,5652,108.31520000,2576726.19659410,0
1675037520000,23783.73000000,23792.88000000,23775.27000000,23789.22000000,132.84346000,1675037579999,3159582.27407040,4596,58.32625000,1387281.31953250,0
1675037580000,23789.22000000,23789.84000000,23770.17000000,23775.13000000,114.79227000,1675037639999,2729650.34458900,4073,51.05769000,1214111.42166160,0
1675037640000,23775.79000000,23777.96000000,23766.38000000,23772.51000000,146.61193000,1675037699999,3485312.03569930,4030,86.73719000,2061974.07224220,0
1675037700000,23773.18000000,23784.96000000,23769.39000000,23782.09000000,90.36518000,1675037759999,2148637.57675470,4031,47.11351000,1120243.15283540,0
1675037760000,23782.68000000,23783.43000000,23760.47000000,23765.55000000,138.05009000,1675037819999,3281549.79554190,3989,56.90021000,1352557.21475210,0
1675037820000,23765.55000000,23766.97000000,23742.47000000,23746.81000000,162.47835000,1675037879999,3859400.20454180,4803,75.85625000,1801824.25548940,0
1675037880000,23746.81000000,23749.62000000,23712.28000000,23729.27000000,353.09506000,1675037939999,8378558.36006450,8989,157.27543000,3731995.47226750,0
1675037940000,23729.27000000,23731.89000000,23700.00000000,23716.20000000,363.60950000,1675037999999,8622687.66426530,9219,160.98959000,3817769.96080720,0
1675038000000,23716.20000000,23732.32000000,23702.67000000,23731.47000000,275.81701000,1675038059999,6541972.01939400,6796,135.66378000,3217934.63241100,0
1675038060000,23731.47000000,23736.98000000,23710.42000000,23711.98000000,186.75537000,1675038119999,4430788.53383090,5431,77.46254000,1837914.02652190,0
1675038120000,23711.98000000,23718.86000000,23692.75000000,23704.60000000,354.99773000,1675038179999,8414941.34054730,7542,152.07681000,3604875.75107370,0
1675038180000,23704.57000000,23707.99000000,23691.48000000,23693.38000000,142.99301000,1675038239999,3388920.26979790,4599,66.98979000,1587672.97585020,0
1675038240000,23692.52000000,23696.57000000,23683.96000000,23693.50000000,218.67276000,1675038299999,5180662.91544720,5925,123.26945000,2920487.01646920,0
1675038300000,23694.43000000,23709.00000000,23691.48000000,23705.61000000,127.19617000,1675038359999,3014811.93928630,4807,55.26953000,1310039.19289400,0
1675038360000,23704.40000000,23711.54000000,23685.51000000,23688.94000000,210.01075000,1675038419999,4976595.58718130,6247,110.84065000,2626580.52704060,0
1675038420000,23688.60000000,23713.01000000,23688.40000000,23705.20000000,183.07947000,1675038479999,4339355.58782280,4855,129.20719000,3062581.32290540,0
1675038480000,23705.21000000,23711.02000000,23686.57000000,23691.09000000,161.68234000,1675038539999,3831149.01388200,5212,66.32022000,1571438.88339170,0
1675038540000,23691.09000000,23709.36000000,23688.84000000,23708.51000000,167.69726000,1675038599999,3974596.88060730,4317,112.59613000,2668618.92621240,0
1675038600000,23708.51000000,23717.96000000,23692.87000000,23700.26000000,170.68776000,1675038659999,4046081.56777470,5201,70.33689000,1667361.00694570,0
1675038660000,23700.94000000,23714.33000000,23699.74000000,23701.08000000,117.89089000,1675038719999,2794971.76746980,4345,62.92700000,1491912.82828790,0
1675038720000,23701.07000000,23725.79000000,23701.07000000,23722.65000000,165.54975000,1675038779999,3926393.10093660,5604,93.97976000,2228872.48092910,0
1675038780000,23722.65000000,23732.97000000,23713.00000000,23729.13000000,129.78269000,1675038839999,3078790.64524290,4952,64.64180000,1533512.23503880,0
1675038840000,23729.12000000,23736.95000000,23726.22000000,23734.61000000,100.51866000,1675038899999,2385490.35957970,4097,42.84890000,1016924.53626000,0
1675038900000,23735.08000000,23744.62000000,23723.20000000,23741.67000000,218.82853000,1675038959999,5193647.10745170,6333,105.01436000,2492486.94594740,0
1675038960000,23741.52000000,23754.27000000,23738.62000000,23747.09000000,174.91072000,1675039019999,4153789.35374080,5163,103.35940000,2454614.95804000,0
1675039020000,23747.78000000,23749.16000000,23735.57000000,23745.01000000,120.01379000,1675039079999,2849471.58828370,4209,54.68684000,1298485.25573800,0
1675039080000,23745.01000000,23749.95000000,23744.20000000,23749.23000000,66.08053000,1675039139999,1569227.69768350,2468,40.98039000,973177.97163850,0
1675039140000,23748.73000000,23749.99000000,23735.71000000,23741.63000000,174.31404000,1675039199999,4138825.35762610,4765,94.01017000,2232159.35133300,0
