2022-12-27 13:00:01.542716, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 13:15:02.737857, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 13:30:01.339915, B/S PRICE:16785.25, TYPE: buy, STOP: 16750.75, TARGET: 16861.180000000004
2022-12-27 13:45:01.558023, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-27 14:00:01.110582, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-27 14:15:01.315035, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-27 14:24:20.740415, B/S PRICE:16749.69, TYPE: STOP, STOP: 0, TARGET: 0
2022-12-27 14:30:01.329371, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 14:45:01.315430, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 15:00:01.237707, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 15:15:01.119329, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 15:30:01.351956, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 15:45:03.517426, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 16:00:01.077554, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 16:15:01.508710, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 16:30:01.258644, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 16:45:01.241997, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 17:00:01.148159, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 17:21:01.717068, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-27 22:32:08.981305, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 08:45:01.186551, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
